Version,Category,Question,Answer,Retrieval_Relevance,Answer_Relevance,Faithfulness
V0,Location & Transport,Where is SEAT located?,"SEAT is located at Gollapalli Road, Chintagunta Village, Near C. Gollapalli, Tirupati (Rural), Andhra Pradesh – 517505.",0.85,0.0,1.0
V0,Location & Transport,Does SEAT provide transport facilities for students?,"Yes. The institution reportedly operates transport services with 9 buses, including 8 buses from Tirupati and 1 bus from Srikalahasti.",0.85,0.9,1.0
V0,Placements,What placement packages are reported at SEAT?,The reported highest package is ₹30 LPA for a CSE student batch. The reported median salary package is ₹3.75 LPA for undergraduate students and ₹3.15 LPA for postgraduate students. The average package was not available in the provided material.,0.85,0.9,1.0
V0,Placements,Does SEAT provide placement support for students?,Yes. SEAT reports a Training and Placement (TAP) Cell for placement-related activities and student training.,0.85,0.9,1.0
V0,Academics & Exams,Is SEAT an autonomous college?,Yes. The provided material indicates that SEAT received autonomous status from 2025.,0.85,0.9,1.0
V0,Hostel & Student Life,Does SEAT provide hostel facilities for students?,"Yes. SEAT reports separate hostel facilities for boys and girls students. The boys hostel has an approximate capacity of 300 students and is reportedly located within the campus, while the girls hostel has an approximate capacity of 246 students and is reportedly located outside the campus.",0.85,0.9,1.0
V0,Fees & Scholarships,Does SEAT support scholarships or fee reimbursement?,The provided material mentions scholarship and fee reimbursement support for eligible students. Exact eligibility and scheme details should be verified directly with the institution.,0.85,0.9,1.0
V0,Facilities & Labs,What library facilities are available at SEAT?,"SEAT reports a central library with 30,000+ books, 60+ online journals, 56+ Indian print journals, digital learning resources, OPAC, and seating for approximately 500 students.",0.85,0.9,1.0
V1,Location & Transport,Where is SEAT located?,"SEAT is located at Gollapalli Road, Chintagunta Village, Near C. Gollapalli, Tirupati (Rural), Andhra Pradesh – 517505.",0.85,0.0,1.0
V1,Location & Transport,Does SEAT provide transport facilities for students?,"Yes. The institution reportedly operates transport services with 9 buses, including 8 buses from Tirupati and 1 bus from Srikalahasti.",0.85,0.9,1.0
V1,Placements,What placement packages are reported at SEAT?,The reported highest package is ₹30 LPA for a CSE student batch. The reported median salary package is ₹3.75 LPA for undergraduate students and ₹3.15 LPA for postgraduate students. The average package was not available in the provided material.,0.85,0.9,1.0
V1,Placements,Does SEAT provide placement support for students?,Yes. SEAT reports a Training and Placement (TAP) Cell for placement-related activities and student training.,0.85,0.9,1.0
V1,Academics & Exams,Is SEAT an autonomous college?,Yes. The provided material indicates that SEAT received autonomous status from 2025.,0.85,0.9,1.0
V1,Hostel & Student Life,Does SEAT provide hostel facilities for students?,"Yes. SEAT reports separate hostel facilities for boys and girls students. The boys hostel has an approximate capacity of 300 students and is reportedly located within the campus, while the girls hostel has an approximate capacity of 246 students and is reportedly located outside the campus.",0.85,1.0,1.0
